date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:36	2137/2137	---M-Z	200	added ('OK')	application/json	etag:W/%2267c8dc5a-859%22	https://mohamedbanane.com/particles.js-master/particles.json	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/particles.js-master/particles.json	(from https://mohamedbanane.com/)
10:10:37	20122/20122	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e9a-hx1u8QcL02PqOQ4MjDhOR9zn84k%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	C:/Mes%20Sites%20Web/Portefolio/cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	(from https://mohamedbanane.com/)
10:10:37	60348/60348	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ebbc-eYt9mlXdWeACqHMf5wW3NFgafH0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.min.js	C:/Mes%20Sites%20Web/Portefolio/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.min.js	(from https://mohamedbanane.com/)
10:10:37	80421/80421	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213a25-1yL6mYLaiqSN+IJRuxiX8Twds7k%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	C:/Mes%20Sites%20Web/Portefolio/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	(from https://mohamedbanane.com/)
10:10:37	1758/1758	---M-Z	200	added ('OK')	text/html	etag:W/%2267c8dc5a-6de%22	https://mohamedbanane.com/login.html	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/login.html	(from https://mohamedbanane.com/)
10:10:38	310730/310730	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ae9773-4bdca%22	https://moment.github.io/luxon/global/luxon.js	C:/Mes%20Sites%20Web/Portefolio/moment.github.io/luxon/global/luxon.js	(from https://mohamedbanane.com/)
10:10:38	74998/74998	---M-Z	200	added ('OK')	text/html	etag:W/%2267c8dc5a-124f6%22	https://mohamedbanane.com/index.html	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/index-2.html	(from https://mohamedbanane.com/)
10:10:38	15103/15103	---M-Z	200	added ('OK')	text/html	etag:W/%2267c8dc5a-3aff%22	https://mohamedbanane.com/projets/epreuve-E4.html	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/projets/epreuve-E4.html	(from https://mohamedbanane.com/)
10:10:39	15188/15188	---M-Z	200	added ('OK')	text/html	etag:W/%2267c8dc5a-3b54%22	https://mohamedbanane.com/projets/epreuve-E5.html	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/projets/epreuve-E5.html	(from https://mohamedbanane.com/)
10:10:39	2613373/2613373	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-27e07d%22	https://mohamedbanane.com/portfolio/img/home%20page/background-home.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/home%20page/background-home.png	(from https://mohamedbanane.com/)
10:10:39	2806/2806	---M--	200	added ('OK')	image/png	etag:%2269de8d56a8845fcd5d6a0c65dc2b8c52%22	https://cdn-icons-png.flaticon.com/512/2985/2985150.png	C:/Mes%20Sites%20Web/Portefolio/cdn-icons-png.flaticon.com/512/2985/2985150.png	(from https://mohamedbanane.com/)
10:10:39	366773/366773	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-598b5%22	https://mohamedbanane.com/portfolio/docs/CV%20mohamed%20banane.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/docs/CV%20mohamed%20banane.pdf	(from https://mohamedbanane.com/)
10:10:40	115185/115185	---M-Z	200	added ('OK')	text/html	etag:W/%2267c8dc5a-1c1f1%22	https://mohamedbanane.com/stage/stage.html	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/stage/stage.html	(from https://mohamedbanane.com/)
10:10:40	74031/74031	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-1212f%22	https://mohamedbanane.com/portfolio/img/logo/logo-foliateam2.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/logo/logo-foliateam2.png	(from https://mohamedbanane.com/)
10:10:40	108806/108806	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-1a906%22	https://mohamedbanane.com/portfolio/img/background/background.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/background/background.png	(from https://mohamedbanane.com/)
10:10:40	167045/167045	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-28c85%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX-cut.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX-cut.png	(from https://mohamedbanane.com/)
10:10:40	135210/135210	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-2102a%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX.png	(from https://mohamedbanane.com/)
10:10:41	1102255/1102255	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-10d1af%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX.pdf	(from https://mohamedbanane.com/)
10:10:41	690808/690808	---M--	200	added ('OK')	image/jpeg	etag:%2267c8dc5a-a8a78%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MRT-LINUX-CERTIFICATE.jpg	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MRT-LINUX-CERTIFICATE.jpg	(from https://mohamedbanane.com/)
10:10:41	221161/221161	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-35fe9%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MRT-LINUX-CERTIFICATE.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MRT-LINUX-CERTIFICATE.pdf	(from https://mohamedbanane.com/)
10:10:41	1177011/1177011	---M--	200	added ('OK')	image/jpeg	etag:%2267c8dc5a-11f5b3%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO-Computer-Hardware-Basics-Badge.jpg	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO-Computer-Hardware-Basics-Badge.jpg	(from https://mohamedbanane.com/)
10:10:41	762936/762936	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-ba438%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO-Computer-Hardware-Basics-Badge.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO-Computer-Hardware-Basics-Badge.pdf	(from https://mohamedbanane.com/)
10:10:42	112392/112392	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-1b708%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO-Introduction-to-Cybersecurity-Badge.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO-Introduction-to-Cybersecurity-Badge.png	(from https://mohamedbanane.com/)
10:10:42	566362/566362	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-8a45a%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO-Introduction-to-Cybersecurity-Badge.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO-Introduction-to-Cybersecurity-Badge.pdf	(from https://mohamedbanane.com/)
10:10:42	105443/105443	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-19be3%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO%20-Introduction-to-Packet-Tracer-Badge.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO%20-Introduction-to-Packet-Tracer-Badge.png	(from https://mohamedbanane.com/)
10:10:42	551564/551564	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-86a8c%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO%20-Introduction-to-Packet-Tracer-Badge.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-CISCO%20-Introduction-to-Packet-Tracer-Badge.pdf	(from https://mohamedbanane.com/)
